baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ofav100240	0.550852516730324	0.228557161927139	2.85315889400415	0.0801067064324552	0.936152388930106	NA
ofav105450	3.36768856320186	1.3653979876587	1.87315839816812	0.728928204360083	0.466045581088574	NA
ofav111453	0.509833592370879	1.16267754274981	2.94331171309035	0.39502358434508	0.692825482674678	NA
ofav111699	0.519166959959744	0.609997631425907	2.9512010403065	0.206694706017912	0.836248292111433	NA
ofav112042	0.56761665861661	0.273116283210647	2.82638989555352	0.0966307881443795	0.923019605497034	NA
ofav112798	0.524755007255173	0.624825606142856	2.92110698980848	0.213900281065646	0.830624821047021	NA
ofav120373	0.554567903879034	0.461253173124546	2.84284505543822	0.162250549759014	0.871108554171859	NA
ofav120423	0.565773931614618	-0.152623106205389	2.82704801033093	-0.0539867401075805	0.956945728696241	NA
ofav121310	3.3117182908134	2.57298856154734	1.72173693827365	1.49441445109915	0.135067326762302	NA
ofav126367	0.576920093060749	0.515913526734038	2.83226451215165	0.182155841913968	0.85546042620174	NA
ofav12680	5.15354765281122	-4.04042786126649	1.51095573222424	-2.67408751632894	0.00749328939044873	NA
ofav129384	1.78190009627306	-1.45124506079355	1.8944008521389	-0.766070739017563	0.443634212577882	NA
ofav133311	0.550852516730324	0.228557161927139	2.85315889400415	0.0801067064324552	0.936152388930106	NA
ofav133418	0.573234639056764	-0.337274929732764	2.81568228736382	-0.119784441322226	0.904653907219512	NA
ofav13842	0.588126120796332	-0.0848908318159495	2.82630842135551	-0.03003594058402	0.976038389651631	NA
ofav140860	2.41069072153428	1.63740311099155	1.81587351559332	0.901716500037473	0.367207485683131	NA
ofav143088	0.567646591761336	-0.355649568911366	2.82647062390852	-0.125828149743712	0.899867958590318	NA
ofav143547	0.550822583585598	0.953247449867266	2.84812029590102	0.334693534974336	0.737856278811968	NA
ofav145590	1.61430304298156	-2.51689495110202	1.84885546128906	-1.36132596830862	0.173410700012096	NA
ofav147112	0.565803864759343	-0.795771594367104	2.88177123785235	-0.276139751800756	0.782440729669125	NA
ofav148017	0.588185987085784	-1.45091626878005	2.83261218718086	-0.51221846581973	0.608498120854708	NA
ofav155266	1.61430304298156	-2.51689495110202	1.84885546128906	-1.36132596830862	0.173410700012096	NA
ofav15672	0.528500327548609	0.167074572834104	2.96671968408913	0.0563162653115307	0.955089861553012	NA
ofav159223	0.537803761992748	0.41815728990492	2.88383630596218	0.145000355616719	0.884710591016275	NA
ofav16085	1.48356564278002	0.876730468553343	1.9890269570649	0.440783602976949	0.659369665263896	NA
ofav16400	0.565743998469892	0.489001094790543	2.83057354565538	0.172756894284236	0.862842520878402	NA
