,B,B,B,D,D,D,pval.BD,padj.BD
ofav100240,-0.183172920460633,0.153087303530311,0.044489639073054,0.0138218310149402,0.0519338731417038,0.176689619648872,0.936152388930106,NA
ofav105450,-0.076688872976967,0.415753919702684,1.05261482859981,-0.639720737860166,2.88779009242497,-1.18835870672333,0.466045581088574,NA
ofav111453,-0.357923971689693,-0.0316184298601306,-0.743081837377601,-0.399092543717707,-0.129777303720163,0.407258582041963,0.692825482674678,NA
ofav111699,-0.301008422589265,0.0276460697581284,-0.320443661833738,-0.504838515739328,-0.0712194128106938,0.399913652481205,0.836248292111433,NA
ofav112042,-0.178871729759249,0.161196870560251,0.0504109096991241,0.304346864084988,0.0588978085971689,-0.081044085215237,0.923019605497034,NA
ofav112798,-0.264950650721533,0.0650858317091057,-0.286100762044123,-0.311180267109303,-0.0341953795951115,0.369101474356498,0.830624821047021,NA
ofav120373,-0.184258827576413,0.152857796379604,-0.0742563644384411,0.209916217709666,0.0514467446963234,0.096837935611447,0.871108554171859,NA
ofav120423,-0.173668243431566,0.16598866066509,0.256600779204937,0.0236790593794842,0.0638134447065229,0.0201876844989227,0.956945728696241,NA
ofav121310,0.0563048879881991,0.547992893549779,-0.191275111366131,-0.00285075595267237,2.95568837058917,0.456587934127616,0.135067326762302,NA
ofav126367,-0.227932209142746,0.114189569770129,-0.113873590739426,0.493456499643606,0.0112728728829532,-0.366739997923198,0.85546042620174,NA
ofav12680,3.90133827354965,0.534485481542858,-0.251221076689934,-0.623807559717658,0.381535206531602,-0.23120060473137,0.00749328939044873,NA
ofav129384,-0.142309355966637,1.43959662623487,0.651955809161087,0.370011255505596,0.176247215215194,-1.04708699620004,0.443634212577882,NA
ofav133311,-0.183172920460633,0.153087303530311,0.044489639073054,0.0138218310149402,0.0519338731417038,0.176689619648872,0.936152388930106,NA
ofav133418,-0.178516071667782,0.162797385975317,0.342455235271332,0.0199357408538479,0.060123847402626,-0.0816621251322658,0.904653907219512,NA
ofav13842,-0.21681862830781,0.127721354279915,0.228852731884446,0.361088996038374,0.0240772160254959,-0.507124358884126,0.976038389651631,NA
ofav140860,0.052712813215219,0.528017135551633,0.253880679868024,0.364096058194138,2.35080158318953,0.0407074015466833,0.367207485683131,NA
ofav143088,-0.184579963511198,0.15549531052454,0.335874177064119,-0.103946859619452,0.0531942409814861,0.0106072074462034,0.899867958590318,NA
ofav143547,-0.231550359329842,0.104702935920784,-0.420413900313639,0.335851654786744,0.00355158982821188,0.0569458644175787,0.737856278811968,NA
