Gene_id	GO terms
ofav4460	GO:0045177;GO:0070062;GO:0016021;GO:0005622;GO:0005886;GO:0005509;GO:0001658;GO:0021987;GO:0072137;GO:0048565;GO:0008543;GO:0003007;GO:0007157;GO:0035329;GO:0007156;GO:0060122;GO:0022008;GO:0007219;GO:0043931;GO:0007009;GO:0072307
ofav37991	GO:0005783;GO:0016021;GO:0005886
ofav150934	GO:0005887;GO:0015279;GO:0006828;GO:0051480
ofav66743	GO:0005737;GO:0030027;GO:0003779;GO:0008157;GO:0072542;GO:0030036;GO:0061386;GO:0048484;GO:2001045;GO:0001755;GO:0001843;GO:0043085;GO:0051726;GO:0007266
ofav119730	GO:0005829;GO:0005730;GO:0005634;GO:0005886;GO:0016874;GO:0003723;GO:0000977;GO:0001078;GO:0008270;GO:0045347;GO:0000122;GO:0006366
ofav105071	GO:0005789;GO:0000139;GO:0016021;GO:0046872;GO:0004767;GO:0050290
ofav102372	GO:0031362;GO:0070062;GO:0005615;GO:0016021;GO:0005886;GO:0003840;GO:0036374;GO:0006520;GO:0019344;GO:0006536;GO:0006750;GO:0006751;GO:0006749;GO:0019370;GO:0006691;GO:0002682;GO:0050727;GO:0007283;GO:0006805;GO:0031638
ofav40872	GO:0030659;GO:0005783;GO:0070062;GO:0005925;GO:0070765;GO:0005794;GO:0016021;GO:0005887;GO:0005765;GO:0042470;GO:0004175;GO:0008233;GO:0042982;GO:0034205;GO:0050673;GO:0006509;GO:0002262;GO:0007220;GO:0007219;GO:0043085;GO:0016485;GO:0042098
ofav9338	GO:0005737;GO:0003680;GO:0008301;GO:0042277;GO:0008270;GO:0071236;GO:0071493;GO:0008630;GO:0010043
ofav91143	GO:0016021;GO:0005886;GO:0005261;GO:0022840;GO:0005272;GO:0005244;GO:0070588;GO:0006816;GO:0034220;GO:0086010;GO:0071805;GO:0060075;GO:0035725
ofav77381	GO:0016491
ofav69033	GO:0030054;GO:0042995;GO:0031901;GO:0002102;GO:0045202;GO:0008289;GO:0016191
ofav139679	GO:0005655;GO:0000172;GO:0000171;GO:0004526;GO:0006364;GO:0008033
ofav69333	GO:0045179;GO:0005903;GO:0070062;GO:0016459;GO:0043234;GO:0005524;GO:0003774;GO:0017137;GO:0032439;GO:0008152;GO:0015031;GO:0016192
ofav24689	GO:0030054;GO:0070062;GO:0005622;GO:0043005;GO:0048786;GO:0044325;GO:0046872;GO:0017156;GO:0048791;GO:0019933;GO:0030073;GO:0006886;GO:0007269;GO:1903861;GO:2000463;GO:0010628;GO:0097151;GO:0017157;GO:0042391;GO:2000300;GO:0061669
ofav38852	GO:0045177;GO:0030054;GO:0005737;GO:0005829;GO:0030425;GO:0043025;GO:0014069;GO:0045211;GO:0032426;GO:0048148;GO:0035584;GO:0048875;GO:0007216;GO:0008277;GO:0007605
ofav71568	GO:0005654;GO:0046982;GO:0000978;GO:0000977;GO:0043565;GO:0003707;GO:0003700;GO:0001077;GO:0001228;GO:0008270;GO:0030154;GO:0021549;GO:0051321;GO:0038066;GO:0048520;GO:0040019;GO:0045663;GO:0045944;GO:0007283
ofav150899	GO:0016021;GO:0005524;GO:0016849;GO:0004674;GO:0009190;GO:0035556
ofav62772	GO:0005737;GO:0004161;GO:0004311;GO:0004337;GO:0042802;GO:0046872;GO:0045337;GO:0033384;GO:0033386;GO:0006720
ofav63080	GO:0005813;GO:0005737;GO:0005874;GO:0005819;GO:0000922;GO:0051781;GO:0032467
ofav39372	GO:0005737;GO:0030425;GO:0071339;GO:0005654;GO:0005634;GO:0016605;GO:0000978;GO:0003713;GO:0003712;GO:0000983;GO:0003700;GO:0071375;GO:0009267;GO:0000082;GO:0010629;GO:0051402;GO:0006461;GO:0048678;GO:0032868;GO:0060041;GO:0006366
ofav45803	GO:0046872;GO:0006915
ofav31797	GO:0005794
ofav14190	GO:0005739;GO:0005654;GO:0005634;GO:0019213;GO:0016798;GO:0006974;GO:0051725;GO:0042278
ofav3986	GO:0005764;GO:0004190;GO:0006508
